sweep	reported_energy	abs_delta_previous	recomputed_mismatch	residual	oracle_min_up	oracle_min_dn	projector_up	projector_dn	energy_delta_oracle	s2	zspin	windows	focks	fallback	local	projection
41	-14.573351151469494	7.740439400549803e-10	8.171241461241152e-14	9.582858421951157e-5	0.9999999968828741	0.9999999968828767	0.00011166478024752395	0.00011166474774189197	2.9706122006700753e-9	0.1317447638501199	-1.1198621472267791	98	325	0.0	98.0	0.0
42	-14.573351152083113	6.136193775319043e-10	1.7763568394002505e-14	8.607331526923944e-5	0.9999999975463976	0.9999999975463942	9.906979729201532e-5	9.906984676155171e-5	2.3570567719843893e-9	0.13173423726487488	-1.1198137418197824	98	325	0.0	98.0	0.0
43	-14.57335115256987	4.867573011324566e-10	4.263256414560601e-14	7.727882513261703e-5	0.9999999980680587	0.9999999980680601	8.790958500260483e-5	8.790954351731582e-5	1.870274601856181e-9	0.1317249104774727	-1.1197708582687949	98	324	0.0	98.0	0.0
44	-14.573351152955837	3.859668140648864e-10	1.6697754290362354e-13	6.935564283996567e-5	0.9999999984779564	0.999999998477955	7.802839682031724e-5	7.802843248822228e-5	1.4841834428125367e-9	0.13171665621322992	-1.119732907045143	98	320	0.0	98.0	0.0
45	-14.573351153262164	3.06327407884055e-10	6.572520305780927e-14	6.222202591024209e-5	0.999999998801609	0.9999999988016108	6.923705124953835e-5	6.923700150542315e-5	1.1780887376744431e-9	0.131709304477162	-1.119699122260382	98	323	0.0	98.0	0.0
46	-14.573351153504833	2.426681078304682e-10	2.007283228522283e-13	5.580096087687893e-5	0.9999999990542832	0.9999999990542832	6.150636749404961e-5	6.150639208609927e-5	9.355556329637693e-10	0.13170284683951605	-1.1196694511059868	98	324	0.0	98.0	0.0
47	-14.573351153697367	1.9253398875207495e-10	9.947598300641403e-14	5.002650499600613e-5	0.9999999992532309	0.9999999992532268	5.46553478254802e-5	5.465552259125525e-5	7.429203918718486e-10	0.1316971268003191	-1.1196431663753077	98	318	0.0	98.0	0.0
48	-14.573351153849938	1.525712889360875e-10	3.197442310920451e-14	4.483594826474358e-5	0.9999999994102573	0.9999999994102592	4.857032624627871e-5	4.85702274754471e-5	5.902816013758638e-10	0.13169204570938242	-1.1196198187081163	98	311	0.0	98.0	0.0
49	-14.573351153971078	1.2114043101973948e-10	1.545430450278218e-13	4.017259420095671e-5	0.9999999995345283	0.9999999995345318	4.3150560082230125e-5	4.3150411416788914e-5	4.689546528879873e-10	0.1316875159744859	-1.1195990131947908	98	307	0.0	98.0	0.0
50	-14.573351154067446	9.636735853746359e-11	1.7763568394002505e-15	3.598496481055594e-5	0.9999999996324705	0.9999999996324721	3.834295462350888e-5	3.834287300965439e-5	3.7274006103871216e-10	0.13168350046700494	-1.119580565783949	98	302	0.0	98.0	0.0
51	-14.573351154143731	7.628564446804376e-11	1.829647544582258e-13	3.222616651328194e-5	0.9999999997095808	0.9999999997095789	3.408414503953776e-5	3.408425574336362e-5	2.962732281730496e-10	0.13167994586121923	-1.1195642295483492	98	295	0.0	98.0	0.0
52	-14.573351154204591	6.085976167469198e-11	8.171241461241152e-14	2.8853465079846657e-5	0.9999999997708102	0.9999999997708111	3.0278677598639488e-5	3.0278663340368573e-5	2.3567814366742823e-10	0.13167676351533775	-1.1195496155680416	98	294	0.0	98.0	0.0
53	-14.573351154252556	4.796518737748556e-11	9.059419880941277e-14	2.5827571948161665e-5	0.9999999998189019	0.9999999998189033	2.691518652914118e-5	2.691507526421127e-5	1.8754064967652084e-10	0.1316739523754067	-1.1195367053804701	98	294	0.0	98.0	0.0
54	-14.573351154290844	3.8287595316433e-11	2.0605739337042905e-13	2.3114541114768545e-5	0.9999999998570263	0.9999999998570256	2.391484320210086e-5	2.391490410203628e-5	1.4913759116552683e-10	0.13167144352057747	-1.1195251876002015	98	294	0.0	98.0	0.0
55	-14.573351154321362	3.05178105008963e-11	7.105427357601002e-14	2.0682746655556044e-5	0.999999999887198	0.9999999998871972	2.1242105121556175e-5	2.1242217541198614e-5	1.1875478378442494e-10	0.131669208382718	-1.1195149271287805	98	294	0.0	98.0	0.0
56	-14.573351154345458	2.4096280526464398e-11	1.474376176702208e-13	1.850377190651465e-5	0.9999999999110445	0.9999999999110442	1.8863753992749823e-5	1.8863742757547113e-5	9.458211991386634e-11	0.13166721988508012	-1.1195057984982197	98	294	0.0	98.0	0.0
57	-14.573351154364968	1.950972716713295e-11	1.0658141036401503e-14	1.655200743424797e-5	0.9999999999299014	0.9999999999299017	1.6745409396331322e-5	1.6745375723542786e-5	7.52091722233672e-11	0.1316654488393949	-1.119497668281673	98	294	0.0	98.0	0.0
58	-14.57335115438024	1.5273116105163353e-11	5.3290705182007514e-14	1.4804286205760088e-5	0.9999999999448176	0.9999999999448165	1.4857292196771982e-5	1.4857380181011373e-5	5.989342355405824e-11	0.13166387002353175	-1.1194904210670484	98	294	0.0	98.0	0.0
59	-14.57335115439257	1.2329692822277138e-11	4.796163466380676e-14	1.323971165996884e-5	0.9999999999566124	0.9999999999566109	1.3174160898138491e-5	1.3174443309798397e-5	4.766498307162692e-11	0.13166246230987744	-1.1194839598076212	98	294	0.0	98.0	0.0
60	-14.573351154402179	9.608314144315955e-12	3.552713678800501e-15	1.1839560276130516e-5	0.999999999965911	0.9999999999659096	1.1677553014273372e-5	1.1677615808075523e-5	3.801226000632596e-11	0.1316612110975124	-1.119478216001406	98	294	0.0	98.0	0.0
61	-14.573351154409833	7.65432162097568e-12	1.3677947663381929e-13	1.0586847303403778e-5	0.9999999999732536	0.9999999999732547	1.0343619041188951e-5	1.034345766218825e-5	3.021760619503766e-11	0.1316600951933542	-1.1194730949823488	98	294	0.0	98.0	0.0
62	-14.573351154416034	6.201261726346274e-12	7.105427357601002e-15	9.466381978361126e-6	0.999999999979048	0.9999999999790466	9.155213450365686e-6	9.155347625705981e-6	2.4146018517967605e-11	0.1316591012304107	-1.1194685336497985	98	294	0.0	98.0	0.0
63	-14.573351154421012	4.977351863999502e-12	1.7763568394002505e-14	8.46451015304958e-6	0.9999999999836147	0.9999999999836149	8.095888237701388e-6	8.095760418566081e-6	1.9193535649719706e-11	0.13165821475587047	-1.1194644657214914	98	294	0.0	98.0	0.0
64	-14.573351154424824	3.8120617773529375e-12	1.4210854715202004e-13	7.5689644724520985e-6	0.9999999999872122	0.9999999999872125	7.15223044120466e-6	7.152274869314548e-6	1.5221601756820746e-11	0.13165742534210478	-1.1194608427367612	98	294	0.0	98.0	0.0
65	-14.573351154427993	3.169020601490047e-12	3.552713678800501e-14	6.768769574638182e-6	0.9999999999900423	0.9999999999900426	6.311519612349676e-6	6.3114800752319255e-6	1.2159162565694714e-11	0.13165672180481858	-1.1194576138553198	98	294	0.0	98.0	0.0
66	-14.57335115443044	2.447819724693545e-12	1.4210854715202004e-14	6.053984001653819e-6	0.999999999992267	0.9999999999922673	5.561612313482772e-6	5.561550356665405e-6	9.761080832504376e-12	0.13165609392133004	-1.1194547324200732	98	294	0.0	98.0	0.0
67	-14.573351154432453	2.0126122990404838e-12	7.283063041541027e-14	5.415716818528377e-6	0.9999999999940129	0.9999999999940136	4.89373069737983e-6	4.893683391380425e-6	7.8070883091641e-12	0.13165553464228985	-1.119452165640581	98	294	0.0	98.0	0.0
68	-14.573351154433977	1.5241141682054149e-12	7.105427357601002e-14	4.8460605924846395e-6	0.9999999999953789	0.99999999999538	4.299766052152675e-6	4.299591429227638e-6	6.281197784119286e-12	0.13165503694241676	-1.1194498815790301	98	294	0.0	98.0	0.0
69	-14.573351154435255	1.27720056752878e-12	1.865174681370263e-13	4.33786325309275e-6	0.9999999999964447	0.9999999999964448	3.7707180812512833e-6	3.7707529783684304e-6	5.119460411151522e-12	0.13165459343239094	-1.1194478466292688	98	294	0.0	98.0	0.0
70	-14.573351154436015	7.602807272633072e-13	2.2026824808563106e-13	3.884762257039831e-6	0.9999999999972771	0.9999999999972773	3.3001663560716875e-6	3.3001069811453383e-6	3.952393967665557e-12	0.13165419861201677	-1.1194460349539306	98	294	0.0	98.0	0.0
71	-14.573351154436917	9.023892744153272e-13	3.552713678800501e-14	3.4811246085560944e-6	0.9999999999979254	0.999999999997926	2.881016825120912e-6	2.8809534746123413e-6	3.305800078123866e-12	0.1316538465144954	-1.1194444193409003	98	294	0.0	98.0	0.0
72	-14.573351154437574	6.572520305780927e-13	4.973799150320701e-14	3.1218350433411214e-6	0.9999999999984288	0.9999999999984281	2.5078769065229578e-6	2.508002465973917e-6	2.6627589022609754e-12	0.13165353270482738	-1.1194429793361222	98	294	0.0	98.0	0.0
73	-14.573351154438159	5.844214001626824e-13	5.5067062021407764e-14	2.802373169980503e-6	0.9999999999988162	0.9999999999988157	2.176399112470628e-6	2.1762664494814975e-6	2.0836665726164938e-12	0.13165325327505384	-1.1194416969643628	98	294	0.0	98.0	0.0
74	-14.573351154438333	1.7408297026122455e-13	2.007283228522283e-13	2.5186425079010856e-6	0.9999999999991153	0.9999999999991147	1.8813089170480093e-6	1.8814351583601217e-6	1.6537882174816332e-12	0.13165300393528234	-1.119440552841032	98	294	0.0	98.0	0.0
